AREA_NAME,HOOD_ID_2016,ASSAULT_2016,AUTOTHEFT_2016,BIKETHEFT_2016,BREAKENTER_2016,HOMICIDE_2016,ROBBERY_2016,SHOOTING_2016,THEFTFROMMV_2016,THEFTOVER_2016,TOTAL_CRIME_COUNT_2016,Reconciled_Neighbourhood,HOOD_ID_2021,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT_2021,total_population,ASSAULT_change,ASSAULT_percent_change,AUTOTHEFT_change,AUTOTHEFT_percent_change,BIKETHEFT_change,BIKETHEFT_percent_change,BREAKENTER_change,BREAKENTER_percent_change,HOMICIDE_change,HOMICIDE_percent_change,ROBBERY_change,ROBBERY_percent_change,SHOOTING_change,SHOOTING_percent_change,THEFTFROMMV_change,THEFTFROMMV_percent_change,THEFTOVER_change,THEFTOVER_percent_change,TOTAL_CRIME_COUNT_change,TOTAL_CRIME_COUNT_percent_change
Englemount-Lawrence,32.0,130.0,23.0,18.0,56.0,0.0,37.0,16.0,37.0,7.0,324.0,Englemount-Lawrence,32.0,88.0,37.0,13.0,23.0,1.0,7.0,4.0,62.0,9.0,244.0,21285.0,-42.0,-32.30769230769231,14.0,60.86956521739131,-5.0,-27.77777777777778,-33.0,-58.92857142857143,1.0,inf,-30.0,-81.08108108108108,-12.0,-75.0,25.0,67.56756756756756,2.0,28.57142857142857,-80.0,-24.691358024691358
Eringate-Centennial-West Deane,11.0,61.0,30.0,4.0,28.0,0.0,13.0,3.0,42.0,4.0,185.0,Eringate-Centennial-West Deane,11.0,39.0,66.0,0.0,14.0,0.0,4.0,1.0,34.0,2.0,160.0,18450.0,-22.0,-36.0655737704918,36.0,120.0,-4.0,-100.0,-14.0,-50.0,0.0,,-9.0,-69.23076923076923,-2.0,-66.66666666666666,-8.0,-19.047619047619047,-2.0,-50.0,-25.0,-13.513513513513514
Etobicoke City Centre,159.0,131.0,103.0,19.0,65.0,0.0,21.0,3.0,97.0,31.0,470.0,Etobicoke City Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etobicoke West Mall,13.0,46.0,15.0,1.0,14.0,1.0,4.0,1.0,19.0,0.0,101.0,Etobicoke West Mall,13.0,47.0,17.0,4.0,12.0,0.0,2.0,0.0,18.0,3.0,103.0,11865.0,1.0,2.1739130434782608,2.0,13.333333333333334,3.0,300.0,-2.0,-14.285714285714285,-1.0,-100.0,-2.0,-50.0,-1.0,-100.0,-1.0,-5.263157894736842,3.0,inf,2.0,1.9801980198019802
Fenside-Parkwoods,150.0,120.0,17.0,8.0,24.0,0.0,22.0,2.0,44.0,2.0,239.0,Fenside-Parkwoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flemingdon Park,44.0,157.0,4.0,4.0,14.0,0.0,24.0,8.0,46.0,3.0,260.0,Flemingdon Park,44.0,147.0,17.0,5.0,10.0,1.0,4.0,8.0,35.0,2.0,229.0,22530.0,-10.0,-6.369426751592357,13.0,325.0,1.0,25.0,-4.0,-28.57142857142857,1.0,inf,-20.0,-83.33333333333334,0.0,0.0,-11.0,-23.91304347826087,-1.0,-33.33333333333333,-31.0,-11.923076923076923
Forest Hill North,102.0,30.0,8.0,13.0,19.0,0.0,10.0,0.0,13.0,2.0,95.0,Forest Hill North,102.0,40.0,37.0,5.0,12.0,0.0,3.0,1.0,39.0,2.0,139.0,12290.0,10.0,33.33333333333333,29.0,362.5,-8.0,-61.53846153846154,-7.0,-36.84210526315789,0.0,,-7.0,-70.0,1.0,inf,26.0,200.0,0.0,0.0,44.0,46.31578947368421
Forest Hill South,101.0,10.0,9.0,9.0,27.0,0.0,2.0,0.0,15.0,5.0,77.0,Forest Hill South,101.0,16.0,75.0,21.0,25.0,0.0,2.0,0.0,27.0,3.0,169.0,10860.0,6.0,60.0,66.0,733.3333333333333,12.0,133.33333333333331,-2.0,-7.4074074074074066,0.0,,0.0,0.0,0.0,,12.0,80.0,-2.0,-40.0,92.0,119.48051948051948
Fort York-Liberty Village,163.0,99.0,14.0,60.0,28.0,0.0,4.0,1.0,24.0,11.0,241.0,Fort York-Liberty Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfield-Jane Heights,25.0,300.0,64.0,10.0,30.0,2.0,66.0,23.0,88.0,9.0,592.0,Glenfield-Jane Heights,25.0,309.0,106.0,6.0,41.0,5.0,26.0,17.0,95.0,7.0,612.0,30020.0,9.0,3.0,42.0,65.625,-4.0,-40.0,11.0,36.666666666666664,3.0,150.0,-40.0,-60.60606060606061,-6.0,-26.08695652173913,7.0,7.954545454545454,-2.0,-22.22222222222222,20.0,3.3783783783783785
Golfdale-Cedarbrae-Woburn,141.0,194.0,10.0,15.0,38.0,0.0,38.0,1.0,49.0,5.0,350.0,Golfdale-Cedarbrae-Woburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood-Coxwell,65.0,100.0,12.0,37.0,62.0,0.0,14.0,1.0,58.0,7.0,291.0,Greenwood-Coxwell,65.0,109.0,18.0,61.0,38.0,0.0,14.0,2.0,59.0,7.0,308.0,14120.0,9.0,9.0,6.0,50.0,24.0,64.86486486486487,-24.0,-38.70967741935484,0.0,,0.0,0.0,1.0,100.0,1.0,1.7241379310344827,0.0,0.0,17.0,5.841924398625429
Guildwood,140.0,44.0,4.0,6.0,18.0,0.0,8.0,0.0,31.0,1.0,112.0,Guildwood,140.0,36.0,13.0,0.0,7.0,2.0,4.0,0.0,33.0,0.0,95.0,9680.0,-8.0,-18.181818181818183,9.0,225.0,-6.0,-100.0,-11.0,-61.111111111111114,2.0,inf,-4.0,-50.0,0.0,,2.0,6.451612903225806,-1.0,-100.0,-17.0,-15.178571428571427
Harbourfront-CityPlace,165.0,141.0,10.0,122.0,38.0,0.0,13.0,0.0,69.0,23.0,416.0,Harbourfront-CityPlace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Farm,53.0,67.0,10.0,1.0,12.0,0.0,3.0,0.0,33.0,1.0,127.0,Henry Farm,53.0,94.0,33.0,19.0,24.0,0.0,7.0,0.0,100.0,6.0,283.0,19840.0,27.0,40.298507462686565,23.0,229.99999999999997,18.0,1800.0,12.0,100.0,0.0,,4.0,133.33333333333331,0.0,,67.0,203.03030303030303,5.0,500.0,156.0,122.83464566929135
High Park North,88.0,104.0,7.0,47.0,28.0,0.0,30.0,0.0,19.0,3.0,238.0,High Park North,88.0,99.0,20.0,32.0,38.0,0.0,12.0,0.0,29.0,5.0,235.0,21855.0,-5.0,-4.807692307692308,13.0,185.71428571428572,-15.0,-31.914893617021278,10.0,35.714285714285715,0.0,,-18.0,-60.0,0.0,,10.0,52.63157894736842,2.0,66.66666666666666,-3.0,-1.2605042016806722
