AREA_NAME,HOOD_ID,ASSAULT_2020,ASSAULT_RATE_2020,AUTOTHEFT_2020,AUTOTHEFT_RATE_2020,BIKETHEFT_2020,BIKETHEFT_RATE_2020,BREAKENTER_2020,BREAKENTER_RATE_2020,HOMICIDE_2020,ASSAULT_2020,HOMICIDE_RATE_2020,ROBBERY_2020,ROBBERY_RATE_2020,SHOOTING_2020,SHOOTING_RATE_2020,THEFTFROMMV_2020,THEFTFROMMV_RATE_2020,THEFTOVER_2020,THEFTOVER_RATE_2020,TOTAL_CRIME_COUNT
St.Andrew-Windfields,40,51,288.64,33,186.77,16,90.55,50,282.98,0,51,0.0,11,62.26,1,5.66,60,339.58,4,22.64,277
Bedford Park-Nortown,39,52,224.52,81,349.73,8,34.54,63,272.01,0,52,0.0,18,77.72,1,4.32,111,479.25,10,43.18,396
Lansing-Westgate,38,97,583.81,47,282.88,11,66.21,39,234.73,0,97,0.0,11,66.21,1,6.02,85,511.59,8,48.15,396
Willowdale West,37,80,450.02,45,253.14,13,73.13,23,129.38,0,80,0.0,25,140.63,1,5.63,73,410.64,9,50.63,349
Newtonbrook West,36,177,715.76,61,246.67,23,93.01,31,125.36,0,177,0.0,23,93.01,5,20.22,96,388.21,9,36.39,602
Westminster-Branson,35,92,341.44,49,181.85,14,51.96,15,55.67,0,92,0.0,17,63.09,1,3.71,70,259.79,6,22.27,356
Bathurst Manor,34,61,366.7,46,276.53,12,72.14,27,162.31,0,61,0.0,7,42.08,1,6.01,58,348.66,7,42.08,280
Clanton Park,33,77,426.12,43,237.96,11,60.87,33,182.62,0,77,0.0,16,88.54,4,22.14,75,415.05,5,27.67,341
Englemount-Lawrence,32,102,456.4,31,138.71,33,147.66,34,152.13,1,102,4.47,23,102.91,10,44.74,69,308.74,8,35.8,413
Yorkdale-Glen Park,31,157,907.78,88,508.82,33,190.81,75,433.65,1,157,5.78,40,231.28,15,86.73,129,745.88,18,104.08,713
Brookhaven-Amesbury,30,88,484.34,57,313.72,1,5.5,33,181.63,0,88,0.0,16,88.06,0,0.0,61,335.74,9,49.53,353
Maple Leaf,29,30,288.74,18,173.24,2,19.25,10,96.25,0,30,0.0,2,19.25,1,9.62,31,298.36,2,19.25,126
Rustic,28,64,645.16,22,221.77,5,50.4,15,151.21,0,64,0.0,8,80.65,7,70.56,35,352.82,5,50.4,225
York University Heights,27,351,1188.5,187,633.19,39,132.06,105,355.53,1,351,3.39,47,159.14,12,40.63,262,887.14,42,142.21,1397
Glenfield-Jane Heights,25,274,877.5,120,384.31,14,44.84,50,160.13,1,274,3.2,48,153.72,33,105.68,138,441.95,19,60.85,971
Broadview North,57,62,531.6,7,60.02,35,300.09,25,214.35,0,62,0.0,3,25.72,0,0.0,32,274.37,6,51.44,232
Leaside-Bennington,56,30,174.48,43,250.09,48,279.17,40,232.64,0,30,0.0,8,46.53,0,0.0,43,250.09,7,40.71,249
Thorncliffe Park,55,97,452.32,20,93.26,15,69.95,41,191.19,2,97,9.33,5,23.32,9,41.97,26,121.24,3,13.99,315
O'Connor-Parkview,54,114,589.51,20,103.42,6,31.03,25,129.28,0,114,0.0,19,98.25,1,5.17,78,403.35,10,51.71,387
Henry Farm,53,84,415.72,20,98.98,12,59.39,33,163.32,0,84,0.0,6,29.69,2,9.9,40,197.96,6,29.69,287
Bayview Village,52,70,300.44,30,128.76,46,197.43,30,128.76,1,70,4.29,18,77.26,1,4.29,59,253.23,12,51.5,337
Newtonbrook East,50,64,385.4,44,264.96,1,6.02,38,228.83,0,64,0.0,15,90.33,1,6.02,50,301.1,11,66.24,288
Bayview Woods-Steeles,49,33,253.75,16,123.03,3,23.07,33,253.75,0,33,0.0,2,15.38,1,7.69,33,253.75,2,15.38,156
Hillcrest Village,48,53,312.96,24,141.72,0,0.0,18,106.29,0,53,0.0,14,82.67,0,0.0,30,177.15,8,47.24,200
Alderwood,20,37,287.04,28,217.22,8,62.06,43,333.59,0,37,0.0,12,93.1,0,0.0,47,364.62,5,38.79,217
Long Branch,19,68,587.98,24,207.52,8,69.17,34,293.99,0,68,0.0,16,138.35,0,0.0,42,363.16,4,34.59,264
New Toronto,18,89,750.11,21,176.99,16,134.85,41,345.55,0,89,0.0,11,92.71,4,33.71,40,337.13,5,42.14,316
Stonegate-Queensway,16,104,394.21,50,189.52,14,53.07,35,132.67,0,104,0.0,20,75.81,0,0.0,96,363.88,5,18.95,428
Kingsway South,15,10,108.33,17,184.16,12,130.0,21,227.49,0,10,0.0,4,43.33,0,0.0,15,162.5,3,32.5,92
Etobicoke West Mall,13,62,493.63,10,79.62,2,15.92,14,111.46,1,62,7.96,9,71.66,6,47.77,29,230.89,7,55.73,202
Markland Wood,12,42,388.21,29,268.05,1,9.24,12,110.92,0,42,0.0,17,157.13,0,0.0,16,147.89,7,64.7,166
Eringate-Centennial-West Deane,11,43,225.77,51,267.77,4,21.0,12,63.01,0,43,0.0,19,99.76,4,21.0,37,194.27,4,21.0,217
Princess-Rosethorn,10,20,174.69,20,174.69,2,17.47,12,104.81,0,20,0.0,9,78.61,1,8.73,36,314.44,4,34.94,124
Edenbridge-Humber Valley,9,35,219.64,37,232.19,4,25.1,23,144.34,0,35,0.0,9,56.48,1,6.28,27,169.44,1,6.28,172
Humber Heights-Westmount,8,23,211.73,23,211.73,1,9.21,9,82.85,0,23,0.0,2,18.41,0,0.0,36,331.4,1,9.21,118
Willowridge-Martingrove-Richview,7,98,425.0,70,303.57,1,4.34,21,91.07,0,98,0.0,15,65.05,7,30.36,44,190.81,4,17.35,358
Kingsview Village-The Westway,6,100,439.46,61,268.07,5,21.97,14,61.52,0,100,0.0,7,30.76,2,8.79,66,290.05,7,30.76,362
Elms-Old Rexdale,5,49,506.04,42,433.75,2,20.65,13,134.26,0,49,0.0,7,72.29,0,0.0,35,361.46,2,20.65,199
Rexdale-Kipling,4,49,454.84,44,408.43,1,9.28,18,167.08,0,49,0.0,14,129.95,1,9.28,42,389.86,1,9.28,219
Thistletown-Beaumond Heights,3,56,537.69,43,412.87,0,0.0,11,105.62,0,56,0.0,9,86.41,1,9.6,55,528.08,5,48.01,236
Mount Olive-Silverstone-Jamestown,2,206,626.62,87,264.64,10,30.42,18,54.75,3,206,9.13,31,94.3,18,54.75,96,292.02,8,24.33,683
West Humber-Clairville,1,248,709.36,405,1158.43,5,14.3,111,317.5,2,248,5.72,76,217.39,5,14.3,374,1069.76,56,160.18,1530
Black Creek,24,269,1216.86,82,370.94,3,13.57,25,113.09,3,269,13.57,26,117.62,19,85.95,88,398.08,16,72.38,800
Pelmo Park-Humberlea,23,54,468.55,59,511.93,5,43.38,20,173.54,0,54,0.0,4,34.71,4,34.71,48,416.49,10,86.77,258
Humbermede,22,84,485.97,75,433.9,4,23.14,33,190.92,0,84,0.0,17,98.35,6,34.71,57,329.77,10,57.85,370
Humber Summit,21,100,790.64,111,877.61,1,7.91,26,205.57,0,100,0.0,26,205.57,4,31.63,94,743.2,23,181.85,485
