Neighbourhood Name                   , Neighbourhood Number, TSNS 2020 Designation                                         , Total_Population, Population_0_14, Population_15_64, Population_65_plus, Average_Age, Median_Age, Median_Income_2020, Average_Income_2020, Median_After_Tax_Income_2020, Average_After_Tax_Income_2020, Youth_Ratio, Working_Age_Ratio, Senior_Ratio
Blake-Jones                          ,                   69, Not an NIA or Emerging Neighbourhood                          ,             7475,            1260,             5170,               1050,        39.9,       40.4,              38400,               63050,                        34800,                         50200,        16.9,              69.2,         14.0
South Riverdale                      ,                   70, Not an NIA or Emerging Neighbourhood                          ,            27815,            3930,            20515,               3370,        39.9,       38.8,              48800,               74100,                        42800,                         57800,        14.1,              73.8,         12.1
Cabbagetown-South St. James Town     ,                   71, Not an NIA or Emerging Neighbourhood                          ,            11020,             900,             8005,               2120,        45.5,       45.2,              46800,               75200,                        41600,                         58350,         8.2,              72.6,         19.2
Regent Park                          ,                   72, Neighbourhood Improvement Area                                ,            12750,            1745,             9755,               1250,        37.6,       35.2,              33200,               48640,                        31400,                         41080,        13.7,              76.5,          9.8
Moss Park                            ,                   73, Not an NIA or Emerging Neighbourhood                          ,            21490,            1570,            17755,               2165,        39.1,       35.6,              42800,               66800,                        38800,                         52300,         7.3,              82.6,         10.1
North St. James Town                 ,                   74, Not an NIA or Emerging Neighbourhood                          ,            18535,            2165,            14470,               1900,        38.9,       36.4,              33600,               45280,                        31600,                         38840,        11.7,              78.1,         10.3
Kensington-Chinatown                 ,                   78, Not an NIA or Emerging Neighbourhood                          ,            18120,            1245,            14070,               2805,        40.6,       34.8,              32400,               53750,                        30200,                         42920,         6.9,              77.6,         15.5
University                           ,                   79, Not an NIA or Emerging Neighbourhood                          ,             6435,             505,             4875,               1050,        41.1,       36.0,              43200,               74100,                        39200,                         53700,         7.8,              75.8,         16.3
Palmerston-Little Italy              ,                   80, Not an NIA or Emerging Neighbourhood                          ,            13120,            1195,             9850,               2070,        41.3,       36.8,              43200,               70000,                        38800,                         55150,         9.1,              75.1,         15.8
Trinity-Bellwoods                    ,                   81, Not an NIA or Emerging Neighbourhood                          ,            15415,            1600,            11450,               2355,        41.5,       38.0,              40400,               67800,                        37200,                         52900,        10.4,              74.3,         15.3
Dufferin Grove                       ,                   83, Not an NIA or Emerging Neighbourhood                          ,            11215,            1210,             8385,               1615,        40.9,       38.0,              40800,               54900,                        36800,                         45320,        10.8,              74.8,         14.4
Little Portugal                      ,                   84, Not an NIA or Emerging Neighbourhood                          ,            15485,            1500,            12190,               1795,        39.0,       35.2,              46000,               64100,                        40800,                         51400,         9.7,              78.7,         11.6
South Parkdale                       ,                   85, Neighbourhood Improvement Area                                ,            20495,            1920,            16180,               2400,        40.2,       37.2,              35200,               48000,                        32800,                         40440,         9.4,              78.9,         11.7
Roncesvalles                         ,                   86, Not an NIA or Emerging Neighbourhood                          ,            14610,            2130,            10590,               1900,        40.3,       39.2,              45600,               70000,                        40800,                         55350,        14.6,              72.5,         13.0
High Park-Swansea                    ,                   87, Not an NIA or Emerging Neighbourhood                          ,            22665,            3385,            15555,               3720,        41.6,       40.8,              56400,               90300,                        49200,                         67500,        14.9,              68.6,         16.4
High Park North                      ,                   88, Not an NIA or Emerging Neighbourhood                          ,            21855,            2780,            15730,               3340,        41.3,       39.2,              48400,               71000,                        42800,                         55450,        12.7,              72.0,         15.3
Runnymede-Bloor West Village         ,                   89, Not an NIA or Emerging Neighbourhood                          ,            10120,            2005,             6710,               1405,        39.7,       41.6,              60400,               88400,                        52000,                         67200,        19.8,              66.3,         13.9
Junction Area                        ,                   90, Not an NIA or Emerging Neighbourhood                          ,            14010,            2050,            10190,               1780,        40.0,       39.6,              47200,               62550,                        42000,                         50680,        14.6,              72.7,         12.7
Weston-Pelham Park                   ,                   91, Neighbourhood Improvement Area                                ,            10680,            1565,             7625,               1485,        40.3,       39.2,              35600,               45760,                        32800,                         39400,        14.7,              71.4,         13.9
Corso Italia-Davenport               ,                   92, Not an NIA or Emerging Neighbourhood                          ,            13200,            1850,             9260,               2095,        41.3,       40.0,              41200,               56100,                        37200,                         46080,        14.0,              70.2,         15.9
